2008-11-29 	09 12 16 26 30 37 (27) 8408694 	 
2008-11-22 	09 21 28 37 44 49 (19) 2510338 	 
2008-11-15 	08 09 12 16 19 21 (47) 9653780 	 
2008-11-08 	02 03 19 28 36 45 (39) 2401574 	 
2008-11-01 	18 25 33 40 42 49 (19) 3914805 	 
2008-10-25 	04 09 25 26 41 46 (40) 8899422 	 
2008-10-18 	11 13 26 32 34 44 (02) 4015048 	Bonus Prizes
2008-10-11 	07 08 23 38 39 45 (47) 9712978 	Bonus Prizes
2008-10-04 	12 19 23 25 36 46 (02) 6813656 	 
2008-09-27 	11 19 29 33 44 46 (34) 8669552 	 
2008-09-20 	02 10 24 31 33 49 (03) 9020691 	 
2008-09-13 	05 18 20 26 37 39 (14) 6827986 	 
2008-09-06 	02 05 09 17 32 35 (36) 0675118 	 
2008-08-30 	02 26 29 36 37 45 (31) 1937074 	 
2008-08-23 	03 07 13 30 38 46 (24) 9206000 	 
2008-08-16 	12 16 19 32 42 49 (03) 2591810 	 
2008-08-09 	01 34 37 39 40 42 (11) 8959986 	 
2008-08-02 	02 09 26 44 47 49 (34) 9617782 	 
2008-07-26 	02 06 20 23 38 45 (24) 1850207 	 
2008-07-19 	10 20 28 36 40 46 (23) 5065830 	 
2008-07-12 	15 18 19 21 24 35 (37) 5510840 	 
2008-07-05 	02 07 08 32 43 49 (48) 6471694 	 
2008-06-28 	04 16 20 23 28 44 (32) 1181861 	 
2008-06-21 	06 07 14 16 17 27 (32) 6224726 	 
2008-06-14 	06 09 14 18 42 44 (36) 7813352 	 
2008-06-07 	27 29 33 36 46 48 (24) 2088173 	 
2008-05-31 	02 09 11 22 34 35 (26) 4161931 	 
2008-05-24 	03 16 22 39 42 49 (28) 4358302 	 
2008-05-17 	05 21 35 38 47 48 (45) 5510997 	 
2008-05-10 	13 15 17 26 34 48 (25) 2964100 	 
2008-05-03 	03 06 15 27 40 44 (41) 7402187 	 
2008-04-26 	01 02 18 38 42 45 (30) 1651361 	 
2008-04-19 	05 27 30 32 46 49 (09) 4863911 	 
2008-04-12 	01 13 23 35 38 42 (22) 2976079 	 
2008-04-05 	16 18 21 27 36 43 (44) 2631360 	 
2008-03-29 	04 07 10 12 26 33 (24) 8239023 	 
2008-03-22 	05 06 10 25 36 38 (07) 1211722 	 
2008-03-15 	03 09 11 19 30 39 (20) 7048628 	 
2008-03-08 	11 12 13 16 46 48 (28) 7275480 	 
2008-03-01 	03 07 09 28 31 43 (02) 0053790 	 
2008-02-23 	04 14 20 31 32 42 (18) 8518889 	 
2008-02-16 	19 29 33 35 44 49 (22) 7181492 	 
2008-02-09 	03 17 26 33 39 46 (18) 4918560 	 
2008-02-02 	07 11 13 34 46 47 (09) 7141210 	 
2008-01-26 	01 05 11 37 44 47 (36) 9223277 	 
2008-01-19 	13 18 22 29 37 49 (47) 9946936 	 
2008-01-12 	03 10 32 43 44 46 (35) 9994034 	 
2008-01-05 	03 22 25 36 39 40 (41) 5357288 	 
2007-12-29 	07 13 16 24 35 42 (01) 1657515 	 
2007-12-22 	08 17 30 36 40 47 (24) 4736951 	 
2007-12-15 	03 11 32 34 44 48 (33) 9167538 	 
2007-12-08 	02 09 11 22 35 45 (31) 9904231 	 
2007-12-01 	16 21 31 40 43 45 (37) 4247970 	  
